ENSG	most_tx
ENSG00000015568	ENST00000016946
ENSG00000015592	ENST00000265770
ENSG00000015676	ENST00000460110
ENSG00000016082	ENST00000230658
ENSG00000016391	ENST00000315251
ENSG00000016402	ENST00000316649
ENSG00000016490	ENST00000394711
ENSG00000016602	ENST00000370563
ENSG00000016864	ENST00000491606
ENSG00000017260	ENST00000507194
ENSG00000017427	ENST00000337514
ENSG00000017483	ENST00000615300
ENSG00000017797	ENST00000383432
ENSG00000018189	ENST00000381006
ENSG00000018236	ENST00000347616
ENSG00000018280	ENST00000233202
ENSG00000018408	ENST00000360632
ENSG00000018510	ENST00000264167
ENSG00000018610	ENST00000644802
ENSG00000018625	ENST00000361216
ENSG00000018699	ENST00000317907
ENSG00000018869	ENST00000589143
ENSG00000019102	ENST00000326621
ENSG00000019144	ENST00000527898
ENSG00000019169	ENST00000327097
ENSG00000019186	ENST00000216862
ENSG00000019485	ENST00000534751
ENSG00000019505	ENST00000020926
ENSG00000019549	ENST00000020945
ENSG00000019582	ENST00000353334
ENSG00000019991	ENST00000222390
ENSG00000019995	ENST00000359653
ENSG00000020129	ENST00000356090
ENSG00000020181	ENST00000412232
ENSG00000020256	ENST00000216923
ENSG00000020426	ENST00000539616
ENSG00000020577	ENST00000251091
ENSG00000020633	ENST00000308873
ENSG00000020922	ENST00000323929
ENSG00000021300	ENST00000227214
ENSG00000021355	ENST00000380739
ENSG00000021461	ENST00000354829
ENSG00000021488	ENST00000023064
ENSG00000021574	ENST00000644954
ENSG00000021645	ENST00000428277
ENSG00000021762	ENST00000263650
ENSG00000021776	ENST00000559767
ENSG00000021826	ENST00000645825
ENSG00000021852	ENST00000371237
ENSG00000022267	ENST00000370683
ENSG00000022277	ENST00000023939
ENSG00000022355	ENST00000636408
ENSG00000022556	ENST00000542755
ENSG00000022567	ENST00000517878
ENSG00000022840	ENST00000413266
ENSG00000022976	ENST00000559185
ENSG00000023041	ENST00000369405
ENSG00000023171	ENST00000638157
ENSG00000023191	ENST00000397604
ENSG00000023228	ENST00000449699
ENSG00000023287	ENST00000435644
ENSG00000023318	ENST00000262455
ENSG00000023330	ENST00000310271
ENSG00000023445	ENST00000527309
ENSG00000023572	ENST00000367439
ENSG00000023697	ENST00000428559
ENSG00000023734	ENST00000419869
ENSG00000023839	ENST00000647814
ENSG00000023892	ENST00000316637
ENSG00000023902	ENST00000369124
ENSG00000023909	ENST00000370238
ENSG00000024048	ENST00000372901
ENSG00000024422	ENST00000263277
ENSG00000024526	ENST00000456315
ENSG00000025039	ENST00000369415
ENSG00000025156	ENST00000368455
ENSG00000025293	ENST00000374012
ENSG00000025423	ENST00000322165
ENSG00000025434	ENST00000494018
ENSG00000025708	ENST00000252029
ENSG00000025770	ENST00000420993
ENSG00000025796	ENST00000369002
ENSG00000025800	ENST00000373625
ENSG00000026025	ENST00000224237
ENSG00000026036	ENST00000480273
ENSG00000026103	ENST00000640250
ENSG00000026297	ENST00000476238
ENSG00000026508	ENST00000263398
ENSG00000026559	ENST00000371571
ENSG00000026652	ENST00000320285
ENSG00000026751	ENST00000368043
ENSG00000026950	ENST00000289361
ENSG00000027001	ENST00000382172
ENSG00000027075	ENST00000555082
ENSG00000027697	ENST00000367739
ENSG00000027847	ENST00000029410
ENSG00000027869	ENST00000368199
ENSG00000028116	ENST00000340157
ENSG00000028137	ENST00000492361
ENSG00000028203	ENST00000547997
ENSG00000028277	ENST00000389341
ENSG00000028310	ENST00000467963
ENSG00000028528	ENST00000560829
ENSG00000028839	ENST00000477527
ENSG00000029153	ENST00000544915
ENSG00000029363	ENST00000531224
ENSG00000029364	ENST00000336643
ENSG00000029534	ENST00000314214
ENSG00000029639	ENST00000367166
ENSG00000029725	ENST00000537505
ENSG00000029993	ENST00000419110
ENSG00000030066	ENST00000378460
ENSG00000030110	ENST00000374467
ENSG00000030304	ENST00000374448
ENSG00000030419	ENST00000451136
ENSG00000030582	ENST00000053867
ENSG00000031003	ENST00000033079
ENSG00000031081	ENST00000264245
ENSG00000031698	ENST00000234677
ENSG00000031823	ENST00000340578
ENSG00000032219	ENST00000355431
ENSG00000032389	ENST00000382125
ENSG00000032444	ENST00000600737
ENSG00000032742	ENST00000351808
ENSG00000033011	ENST00000682797
ENSG00000033030	ENST00000538116
ENSG00000033050	ENST00000287844
ENSG00000033100	ENST00000495645
ENSG00000033122	ENST00000565615
ENSG00000033170	ENST00000342677
ENSG00000033178	ENST00000322244
ENSG00000033327	ENST00000361507
ENSG00000033627	ENST00000587797
ENSG00000033800	ENST00000249636
ENSG00000033867	ENST00000419036
ENSG00000034053	ENST00000411764
ENSG00000034152	ENST00000342679
ENSG00000034239	ENST00000262103
ENSG00000034533	ENST00000264992
ENSG00000034677	ENST00000341084
ENSG00000034693	ENST00000367591
ENSG00000034713	ENST00000037243
ENSG00000034971	ENST00000037502
ENSG00000035115	ENST00000403712
ENSG00000035141	ENST00000037869
ENSG00000035403	ENST00000372755
ENSG00000035499	ENST00000265036
ENSG00000035664	ENST00000261891
ENSG00000035681	ENST00000038176
ENSG00000035687	ENST00000366535
ENSG00000035720	ENST00000265404
ENSG00000035862	ENST00000585421
ENSG00000035928	ENST00000349703
ENSG00000036054	ENST00000471273
ENSG00000036257	ENST00000409096
ENSG00000036448	ENST00000520298
ENSG00000036473	ENST00000039007
ENSG00000036530	ENST00000261835
ENSG00000036549	ENST00000370801
ENSG00000036565	ENST00000276373
ENSG00000036672	ENST00000455332
ENSG00000036828	ENST00000638421
ENSG00000037042	ENST00000251412
ENSG00000037241	ENST00000265100
ENSG00000037280	ENST00000261937
ENSG00000037474	ENST00000264670
ENSG00000037637	ENST00000375592
ENSG00000037749	ENST00000522782
ENSG00000037757	ENST00000040663
ENSG00000037897	ENST00000324871
ENSG00000038002	ENST00000264595
ENSG00000038210	ENST00000264864
ENSG00000038219	ENST00000507943
ENSG00000038274	ENST00000321757
ENSG00000038295	ENST00000061240
ENSG00000038358	ENST00000573992
ENSG00000038382	ENST00000344135
ENSG00000038427	ENST00000342785
ENSG00000038532	ENST00000261657
ENSG00000038945	ENST00000381998
ENSG00000039068	ENST00000261769
ENSG00000039123	ENST00000230640
ENSG00000039139	ENST00000683611
ENSG00000039319	ENST00000511829
ENSG00000039523	ENST00000042381
ENSG00000039537	ENST00000337836
ENSG00000039560	ENST00000265109
ENSG00000039600	ENST00000519442
ENSG00000039650	ENST00000322344
ENSG00000039987	ENST00000553030
ENSG00000040199	ENST00000568954
ENSG00000040275	ENST00000265295
ENSG00000040341	ENST00000355780
ENSG00000040487	ENST00000375155
ENSG00000040531	ENST00000673669
ENSG00000040608	ENST00000416372
ENSG00000040633	ENST00000320316
ENSG00000040731	ENST00000502921
ENSG00000040933	ENST00000074304
ENSG00000041353	ENST00000262094
